Transaction_ID,Item
Reg_0001,Wireless Gaming Mouse
Reg_0002,Wireless Gaming Mouse
Reg_0003,Wireless Gaming Mouse
Reg_0003,DualSense Wireless Controller
Reg_0004,Xbox Series X Console
Reg_0005,Nintendo Switch OLED
Reg_0006,Xbox Series X Console
Reg_0007,Spider-Man 2 (PS5)
Reg_0007,Xbox Series X Console
Reg_0008,Xbox Wireless Controller
Reg_0008,Nintendo Switch OLED
Reg_0009,Mechanical Gaming Keyboard
Reg_0010,Switch Pro Controller
Reg_0010,Mechanical Gaming Keyboard
Reg_0011,Wireless Gaming Mouse
Reg_0012,Wireless Gaming Mouse
Reg_0012,Ergonomic Gaming Chair
Reg_0012,Zelda: Tears of the Kingdom
Reg_0013,XL RGB Mousepad
Reg_0013,Xbox Series X Console
Reg_0014,Wireless Gaming Mouse
Reg_0014,Mechanical Gaming Keyboard
Reg_0015,Xbox Wireless Controller
Reg_0015,Nintendo Switch OLED
Reg_0015,Xbox Series X Console
Reg_0016,Spider-Man 2 (PS5)
Reg_0016,Mechanical Gaming Keyboard
Reg_0017,Mechanical Gaming Keyboard
Reg_0017,Halo Infinite (Xbox)
Reg_0018,Wireless Gaming Mouse
Reg_0018,Mechanical Gaming Keyboard
Reg_0018,Ergonomic Gaming Chair
Reg_0019,Wireless Gaming Mouse
Reg_0020,Wireless Gaming Mouse
Reg_0020,Nintendo Switch OLED
Reg_0021,Zelda: Tears of the Kingdom
Reg_0021,Nintendo Switch OLED
Reg_0021,DualSense Wireless Controller
Reg_0022,Xbox Series X Console
Reg_0023,Noise-Cancelling Gaming Headset
Reg_0023,Nintendo Switch OLED
Reg_0023,Xbox Wireless Controller
Reg_0024,Xbox Series X Console
Reg_0025,Nintendo Switch OLED
Reg_0026,Wireless Gaming Mouse
Reg_0026,Mechanical Gaming Keyboard
Reg_0027,Mechanical Gaming Keyboard
Reg_0027,Noise-Cancelling Gaming Headset
Reg_0028,Wireless Gaming Mouse
Reg_0028,Noise-Cancelling Gaming Headset
Reg_0029,Switch Pro Controller
Reg_0029,Spider-Man 2 (PS5)
Reg_0029,1TB NVMe SSD
Reg_0029,PlayStation 5 Console
Reg_0030,Xbox Series X Console
Reg_0031,Wireless Gaming Mouse
Reg_0032,Wireless Gaming Mouse
Reg_0032,Halo Infinite (Xbox)
Reg_0032,Xbox Series X Console
Reg_0033,Spider-Man 2 (PS5)
Reg_0033,Mechanical Gaming Keyboard
Reg_0033,Zelda: Tears of the Kingdom
Reg_0034,Wireless Gaming Mouse
Reg_0035,Wireless Gaming Mouse
Reg_0036,Switch Pro Controller
Reg_0036,Wireless Gaming Mouse
Reg_0036,Mechanical Gaming Keyboard
Reg_0037,Xbox Series X Console
Reg_0037,Zelda: Tears of the Kingdom
Reg_0038,Nintendo Switch OLED
Reg_0038,DualSense Wireless Controller
Reg_0039,Wireless Gaming Mouse
Reg_0040,Nintendo Switch OLED
Reg_0041,Wireless Gaming Mouse
Reg_0042,Xbox Series X Console
Reg_0043,27-inch 144Hz Gaming Monitor
Reg_0043,PlayStation 5 Console
Reg_0044,XL RGB Mousepad
Reg_0044,Wireless Gaming Mouse
Reg_0044,Mechanical Gaming Keyboard
Reg_0045,XL RGB Mousepad
Reg_0045,Xbox Series X Console
Reg_0045,Zelda: Tears of the Kingdom
Reg_0046,PlayStation 5 Console
Reg_0047,PlayStation 5 Console
Reg_0048,Nintendo Switch OLED
Reg_0049,Mechanical Gaming Keyboard
Reg_0049,Ergonomic Gaming Chair
Reg_0050,Spider-Man 2 (PS5)
Reg_0050,PlayStation 5 Console
Reg_0051,Xbox Series X Console
Reg_0051,Zelda: Tears of the Kingdom
Reg_0052,Wireless Gaming Mouse
Reg_0052,Mechanical Gaming Keyboard
Reg_0053,Spider-Man 2 (PS5)
Reg_0053,Xbox Series X Console
Reg_0053,PlayStation 5 Console
Reg_0054,Noise-Cancelling Gaming Headset
Reg_0054,Spider-Man 2 (PS5)
Reg_0054,1TB NVMe SSD
Reg_0054,PlayStation 5 Console
Reg_0055,XL RGB Mousepad
Reg_0055,Noise-Cancelling Gaming Headset
Reg_0055,PlayStation 5 Console
Reg_0056,Wireless Gaming Mouse
Reg_0057,Xbox Series X Console
Reg_0058,PlayStation 5 Console
Reg_0059,Mechanical Gaming Keyboard
Reg_0059,PlayStation 5 Console
Reg_0059,Zelda: Tears of the Kingdom
Reg_0060,Wireless Gaming Mouse
Reg_0061,Wireless Gaming Mouse
Reg_0061,PlayStation 5 Console
Reg_0062,Spider-Man 2 (PS5)
Reg_0062,Wireless Gaming Mouse
Reg_0062,Xbox Series X Console
Reg_0063,Spider-Man 2 (PS5)
Reg_0063,PlayStation 5 Console
Reg_0064,Ergonomic Gaming Chair
Reg_0064,Xbox Series X Console
Reg_0064,PlayStation 5 Console
Reg_0065,Wireless Gaming Mouse
Reg_0065,Mechanical Gaming Keyboard
Reg_0065,1TB NVMe SSD
Reg_0066,Noise-Cancelling Gaming Headset
Reg_0066,Nintendo Switch OLED
Reg_0067,27-inch 144Hz Gaming Monitor
Reg_0067,Wireless Gaming Mouse
Reg_0067,Mechanical Gaming Keyboard
Reg_0067,Xbox Wireless Controller
Reg_0068,Spider-Man 2 (PS5)
Reg_0068,PlayStation 5 Console
Reg_0069,Wireless Gaming Mouse
Reg_0070,XL RGB Mousepad
Reg_0070,Wireless Gaming Mouse
Reg_0070,Mechanical Gaming Keyboard
Reg_0071,XL RGB Mousepad
Reg_0071,Mechanical Gaming Keyboard
Reg_0071,Noise-Cancelling Gaming Headset
Reg_0072,Ergonomic Gaming Chair
Reg_0072,1TB NVMe SSD
Reg_0072,Xbox Series X Console
Reg_0073,Mechanical Gaming Keyboard
Reg_0074,Wireless Gaming Mouse
Reg_0074,Mechanical Gaming Keyboard
Reg_0074,PlayStation 5 Console
Reg_0075,PlayStation 5 Console
Reg_0076,Nintendo Switch OLED
Reg_0077,Switch Pro Controller
Reg_0077,Spider-Man 2 (PS5)
Reg_0077,Xbox Series X Console
Reg_0077,PlayStation 5 Console
Reg_0078,Wireless Gaming Mouse
Reg_0078,Mechanical Gaming Keyboard
Reg_0078,Nintendo Switch OLED
Reg_0079,Wireless Gaming Mouse
Reg_0079,PlayStation 5 Console
Reg_0080,27-inch 144Hz Gaming Monitor
Reg_0080,Mechanical Gaming Keyboard
Reg_0080,Nintendo Switch OLED
Reg_0081,Spider-Man 2 (PS5)
Reg_0081,Halo Infinite (Xbox)
Reg_0081,PlayStation 5 Console
Reg_0082,PlayStation 5 Console
Reg_0083,27-inch 144Hz Gaming Monitor
Reg_0083,Spider-Man 2 (PS5)
Reg_0083,PlayStation 5 Console
Reg_0084,PlayStation 5 Console
Reg_0085,Wireless Gaming Mouse
Reg_0085,Halo Infinite (Xbox)
Reg_0086,Spider-Man 2 (PS5)
Reg_0086,Mechanical Gaming Keyboard
Reg_0087,Wireless Gaming Mouse
Reg_0087,DualSense Wireless Controller
Reg_0088,Nintendo Switch OLED
Reg_0088,Zelda: Tears of the Kingdom
Reg_0089,Wireless Gaming Mouse
Reg_0089,Mechanical Gaming Keyboard
Reg_0089,Halo Infinite (Xbox)
Reg_0090,Noise-Cancelling Gaming Headset
Reg_0090,Xbox Series X Console
Reg_0091,Wireless Gaming Mouse
Reg_0091,Halo Infinite (Xbox)
Reg_0091,PlayStation 5 Console
Reg_0092,Halo Infinite (Xbox)
Reg_0092,Xbox Series X Console
Reg_0093,Wireless Gaming Mouse
Reg_0094,Xbox Series X Console
Reg_0095,Spider-Man 2 (PS5)
Reg_0095,PlayStation 5 Console
Reg_0096,Xbox Series X Console
Reg_0097,Spider-Man 2 (PS5)
Reg_0097,PlayStation 5 Console
Reg_0098,27-inch 144Hz Gaming Monitor
Reg_0098,Wireless Gaming Mouse
Reg_0099,XL RGB Mousepad
Reg_0099,Wireless Gaming Mouse
Reg_0099,Mechanical Gaming Keyboard
Reg_0100,Wireless Gaming Mouse
