Transaction_ID,Item
Sum_0001,Mineral Sunscreen SPF 50
Sum_0001,Clay Mask
Sum_0001,Vitamin C Serum
Sum_0001,Gentle Cleanser
Sum_0001,Lightweight Moisturizer
Sum_0001,Pimple Patches
Sum_0002,Clay Mask
Sum_0002,Niacinamide Serum
Sum_0002,Gentle Cleanser
Sum_0002,Hyaluronic Acid Serum
Sum_0003,Niacinamide Serum
Sum_0003,Pimple Patches
Sum_0003,Gentle Cleanser
Sum_0003,Lip Sleeping Mask
Sum_0004,Foaming Cleanser
Sum_0004,Snail Mucin Essence
Sum_0005,Mineral Sunscreen SPF 50
Sum_0005,Snail Mucin Essence
Sum_0005,Vitamin C Serum
Sum_0005,Gentle Cleanser
Sum_0005,Lightweight Moisturizer
Sum_0005,Exfoliating Toner
Sum_0006,Foaming Cleanser
Sum_0006,Mineral Sunscreen SPF 50
Sum_0006,Niacinamide Serum
Sum_0006,Vitamin C Serum
Sum_0006,Sheet Mask
Sum_0006,Lightweight Moisturizer
Sum_0007,Lightweight Moisturizer
Sum_0007,Vitamin C Serum
Sum_0007,Gentle Cleanser
Sum_0007,Mineral Sunscreen SPF 50
Sum_0008,Lightweight Moisturizer
Sum_0008,Foaming Cleanser
Sum_0008,Vitamin C Serum
Sum_0008,Mineral Sunscreen SPF 50
Sum_0009,Pimple Patches
Sum_0009,Gentle Cleanser
Sum_0010,Foaming Cleanser
Sum_0010,Heavy Ceramide Cream
Sum_0010,Pimple Patches
Sum_0011,Mineral Sunscreen SPF 50
Sum_0011,Vitamin C Serum
Sum_0011,Gentle Cleanser
Sum_0011,Lightweight Moisturizer
Sum_0011,Pimple Patches
Sum_0012,Vitamin C Serum
Sum_0012,Pimple Patches
Sum_0012,Gentle Cleanser
Sum_0013,Mineral Sunscreen SPF 50
Sum_0013,Vitamin C Serum
Sum_0013,Gentle Cleanser
Sum_0013,Lightweight Moisturizer
Sum_0013,Pimple Patches
Sum_0014,Lightweight Moisturizer
Sum_0014,Foaming Cleanser
Sum_0014,Vitamin C Serum
Sum_0014,Mineral Sunscreen SPF 50
Sum_0015,Foaming Cleanser
Sum_0015,Mineral Sunscreen SPF 50
Sum_0015,Lip Sleeping Mask
Sum_0015,Vitamin C Serum
Sum_0015,Sheet Mask
Sum_0015,Lightweight Moisturizer
Sum_0016,Clay Mask
Sum_0016,Foaming Cleanser
Sum_0016,Hydrating Toner
Sum_0017,Mineral Sunscreen SPF 50
Sum_0017,Vitamin C Serum
Sum_0017,Gentle Cleanser
Sum_0017,Lightweight Moisturizer
Sum_0017,Exfoliating Toner
Sum_0017,Pimple Patches
Sum_0017,Hydrating Toner
Sum_0018,Lightweight Moisturizer
Sum_0018,Foaming Cleanser
Sum_0018,Vitamin C Serum
Sum_0018,Mineral Sunscreen SPF 50
Sum_0019,Lightweight Moisturizer
Sum_0019,Vitamin C Serum
Sum_0019,Gentle Cleanser
Sum_0019,Mineral Sunscreen SPF 50
Sum_0020,Foaming Cleanser
Sum_0020,Mineral Sunscreen SPF 50
Sum_0020,Vitamin C Serum
Sum_0020,Lightweight Moisturizer
Sum_0020,Exfoliating Toner
Sum_0021,Mineral Sunscreen SPF 50
Sum_0021,Snail Mucin Essence
Sum_0021,Vitamin C Serum
Sum_0021,Gentle Cleanser
Sum_0021,Lightweight Moisturizer
Sum_0021,Hydrating Toner
Sum_0022,Foaming Cleanser
Sum_0022,Pimple Patches
Sum_0022,Sheet Mask
Sum_0023,Foaming Cleanser
Sum_0023,Mineral Sunscreen SPF 50
Sum_0023,Lip Sleeping Mask
Sum_0023,Vitamin C Serum
Sum_0023,Lightweight Moisturizer
Sum_0023,Pimple Patches
Sum_0023,Hydrating Toner
Sum_0024,Lightweight Moisturizer
Sum_0024,Foaming Cleanser
Sum_0024,Vitamin C Serum
Sum_0024,Mineral Sunscreen SPF 50
Sum_0025,Lightweight Moisturizer
Sum_0025,Foaming Cleanser
Sum_0025,Vitamin C Serum
Sum_0025,Mineral Sunscreen SPF 50
Sum_0026,Foaming Cleanser
Sum_0026,Pimple Patches
Sum_0026,Gentle Cleanser
Sum_0027,Foaming Cleanser
Sum_0027,Mineral Sunscreen SPF 50
Sum_0027,Clay Mask
Sum_0027,Vitamin C Serum
Sum_0027,Lightweight Moisturizer
Sum_0027,Pimple Patches
Sum_0028,Sheet Mask
Sum_0028,Foaming Cleanser
Sum_0028,Exfoliating Toner
Sum_0029,Lightweight Moisturizer
Sum_0029,Foaming Cleanser
Sum_0029,Vitamin C Serum
Sum_0029,Mineral Sunscreen SPF 50
Sum_0030,Mineral Sunscreen SPF 50
Sum_0030,Vitamin C Serum
Sum_0030,Gentle Cleanser
Sum_0030,Lightweight Moisturizer
Sum_0030,Pimple Patches
Sum_0031,Foaming Cleanser
Sum_0031,Mineral Sunscreen SPF 50
Sum_0031,Vitamin C Serum
Sum_0031,Gentle Cleanser
Sum_0031,Lightweight Moisturizer
Sum_0031,Pimple Patches
Sum_0031,Hyaluronic Acid Serum
Sum_0032,Gentle Cleanser
Sum_0033,Clay Mask
Sum_0033,Vitamin C Serum
Sum_0033,Gentle Cleanser
Sum_0034,Lightweight Moisturizer
Sum_0034,Foaming Cleanser
Sum_0034,Vitamin C Serum
Sum_0034,Mineral Sunscreen SPF 50
Sum_0035,Heavy Ceramide Cream
Sum_0035,Gentle Cleanser
Sum_0035,Lip Sleeping Mask
Sum_0036,Lightweight Moisturizer
Sum_0036,Snail Mucin Essence
Sum_0036,Gentle Cleanser
Sum_0037,Mineral Sunscreen SPF 50
Sum_0037,Vitamin C Serum
Sum_0037,Gentle Cleanser
Sum_0037,Lightweight Moisturizer
Sum_0037,Pimple Patches
Sum_0038,Foaming Cleanser
Sum_0038,Mineral Sunscreen SPF 50
Sum_0038,Vitamin C Serum
Sum_0038,Lightweight Moisturizer
Sum_0038,Pimple Patches
Sum_0039,Mineral Sunscreen SPF 50
Sum_0039,Vitamin C Serum
Sum_0039,Sheet Mask
Sum_0039,Gentle Cleanser
Sum_0039,Lightweight Moisturizer
Sum_0040,Mineral Sunscreen SPF 50
Sum_0040,Vitamin C Serum
