Transaction_ID,Item
Tra_0001,Lightweight Moisturizer
Tra_0001,Niacinamide Serum
Tra_0001,Vitamin C Serum
Tra_0001,Gentle Cleanser
Tra_0002,Lightweight Moisturizer
Tra_0002,Foaming Cleanser
Tra_0002,Vitamin C Serum
Tra_0002,Hydrating Toner
Tra_0003,Lightweight Moisturizer
Tra_0003,Foaming Cleanser
Tra_0003,Vitamin C Serum
Tra_0003,Mineral Sunscreen SPF 50
Tra_0004,Clay Mask
Tra_0004,Foaming Cleanser
Tra_0004,Mineral Sunscreen SPF 50
Tra_0005,Lip Sleeping Mask
Tra_0005,Foaming Cleanser
Tra_0005,Heavy Ceramide Cream
Tra_0005,Hyaluronic Acid Serum
Tra_0006,Foaming Cleanser
Tra_0006,Mineral Sunscreen SPF 50
Tra_0007,Snail Mucin Essence
Tra_0007,Gentle Cleanser
Tra_0008,Foaming Cleanser
Tra_0008,Niacinamide Serum
Tra_0008,Exfoliating Toner
Tra_0008,Hyaluronic Acid Serum
Tra_0009,Lightweight Moisturizer
Tra_0009,Foaming Cleanser
Tra_0009,Vitamin C Serum
Tra_0010,Lightweight Moisturizer
Tra_0010,Foaming Cleanser
Tra_0010,Vitamin C Serum
Tra_0011,Lightweight Moisturizer
Tra_0011,Foaming Cleanser
Tra_0012,Lightweight Moisturizer
Tra_0012,Heavy Ceramide Cream
Tra_0012,Vitamin C Serum
Tra_0012,Gentle Cleanser
Tra_0013,Heavy Ceramide Cream
Tra_0013,Gentle Cleanser
Tra_0013,Hyaluronic Acid Serum
Tra_0014,Heavy Ceramide Cream
Tra_0014,Vitamin C Serum
Tra_0014,Gentle Cleanser
Tra_0014,Hyaluronic Acid Serum
Tra_0015,Snail Mucin Essence
Tra_0015,Chemical Sunscreen SPF 50
Tra_0015,Gentle Cleanser
Tra_0016,Foaming Cleanser
Tra_0017,Snail Mucin Essence
Tra_0017,Niacinamide Serum
Tra_0017,Pimple Patches
Tra_0017,Gentle Cleanser
Tra_0018,Sheet Mask
Tra_0018,Gentle Cleanser
Tra_0018,Lightweight Moisturizer
Tra_0018,Heavy Ceramide Cream
Tra_0018,Hyaluronic Acid Serum
Tra_0019,Foaming Cleanser
Tra_0019,Snail Mucin Essence
Tra_0019,Hydrating Toner
Tra_0020,Foaming Cleanser
Tra_0020,Sheet Mask
Tra_0021,Heavy Ceramide Cream
Tra_0021,Gentle Cleanser
Tra_0021,Hyaluronic Acid Serum
Tra_0022,Exfoliating Toner
Tra_0022,Gentle Cleanser
Tra_0023,Foaming Cleanser
Tra_0023,Lip Sleeping Mask
Tra_0024,Foaming Cleanser
Tra_0024,Pimple Patches
Tra_0024,Exfoliating Toner
Tra_0025,Chemical Sunscreen SPF 50
Tra_0025,Gentle Cleanser
Tra_0026,Snail Mucin Essence
Tra_0026,Gentle Cleanser
Tra_0027,Clay Mask
Tra_0027,Vitamin C Serum
Tra_0027,Gentle Cleanser
Tra_0027,Lightweight Moisturizer
Tra_0027,Heavy Ceramide Cream
Tra_0027,Hyaluronic Acid Serum
Tra_0028,Foaming Cleanser
Tra_0028,Lip Sleeping Mask
Tra_0028,Vitamin C Serum
Tra_0028,Lightweight Moisturizer
Tra_0028,Heavy Ceramide Cream
Tra_0028,Hyaluronic Acid Serum
Tra_0029,Foaming Cleanser
Tra_0029,Snail Mucin Essence
Tra_0029,Gentle Cleanser
Tra_0029,Heavy Ceramide Cream
Tra_0029,Hyaluronic Acid Serum
Tra_0030,Foaming Cleanser
Tra_0031,Lightweight Moisturizer
Tra_0031,Foaming Cleanser
Tra_0031,Vitamin C Serum
Tra_0031,Gentle Cleanser
Tra_0032,Gentle Cleanser
Tra_0033,Heavy Ceramide Cream
Tra_0033,Gentle Cleanser
Tra_0033,Hyaluronic Acid Serum
Tra_0034,Lightweight Moisturizer
Tra_0034,Foaming Cleanser
Tra_0034,Vitamin C Serum
Tra_0035,Heavy Ceramide Cream
Tra_0035,Vitamin C Serum
Tra_0035,Gentle Cleanser
Tra_0035,Hyaluronic Acid Serum
Tra_0036,Foaming Cleanser
Tra_0036,Snail Mucin Essence
Tra_0036,Hyaluronic Acid Serum
Tra_0037,Lightweight Moisturizer
Tra_0037,Foaming Cleanser
Tra_0037,Vitamin C Serum
Tra_0038,Lightweight Moisturizer
Tra_0038,Gentle Cleanser
Tra_0038,Lip Sleeping Mask
Tra_0039,Foaming Cleanser
Tra_0039,Mineral Sunscreen SPF 50
Tra_0039,Niacinamide Serum
Tra_0039,Vitamin C Serum
Tra_0039,Lightweight Moisturizer
Tra_0039,Hyaluronic Acid Serum
Tra_0040,Foaming Cleanser
Tra_0040,Vitamin C Serum
Tra_0040,Gentle Cleanser
Tra_0040,Lightweight Moisturizer
Tra_0040,Heavy Ceramide Cream
Tra_0040,Hyaluronic Acid Serum
Tra_0041,Foaming Cleanser
Tra_0041,Vitamin C Serum
Tra_0041,Lightweight Moisturizer
Tra_0041,Heavy Ceramide Cream
Tra_0041,Hyaluronic Acid Serum
Tra_0042,Foaming Cleanser
Tra_0042,Snail Mucin Essence
Tra_0043,Lightweight Moisturizer
Tra_0043,Vitamin C Serum
Tra_0043,Gentle Cleanser
Tra_0043,Exfoliating Toner
Tra_0044,Foaming Cleanser
Tra_0044,Heavy Ceramide Cream
Tra_0044,Chemical Sunscreen SPF 50
Tra_0044,Hyaluronic Acid Serum
Tra_0045,Snail Mucin Essence
Tra_0045,Vitamin C Serum
Tra_0045,Gentle Cleanser
Tra_0045,Lightweight Moisturizer
Tra_0045,Heavy Ceramide Cream
Tra_0045,Hyaluronic Acid Serum
Tra_0046,Foaming Cleanser
Tra_0046,Heavy Ceramide Cream
Tra_0046,Niacinamide Serum
Tra_0047,Foaming Cleanser
Tra_0047,Vitamin C Serum
Tra_0047,Lightweight Moisturizer
Tra_0047,Heavy Ceramide Cream
Tra_0047,Hyaluronic Acid Serum
Tra_0048,Foaming Cleanser
Tra_0048,Heavy Ceramide Cream
Tra_0048,Hyaluronic Acid Serum
Tra_0049,Foaming Cleanser
Tra_0050,Foaming Cleanser
Tra_0050,Heavy Ceramide Cream
Tra_0050,Pimple Patches
Tra_0050,Hyaluronic Acid Serum
Tra_0051,Foaming Cleanser
Tra_0051,Sheet Mask
Tra_0051,Heavy Ceramide Cream
Tra_0051,Chemical Sunscreen SPF 50
Tra_0051,Hyaluronic Acid Serum
Tra_0052,Foaming Cleanser
Tra_0052,Vitamin C Serum
Tra_0052,Lightweight Moisturizer
Tra_0052,Heavy Ceramide Cream
Tra_0052,Hyaluronic Acid Serum
Tra_0053,Foaming Cleanser
Tra_0054,Gentle Cleanser
Tra_0055,Heavy Ceramide Cream
Tra_0055,Gentle Cleanser
Tra_0055,Hyaluronic Acid Serum
Tra_0056,Lightweight Moisturizer
Tra_0056,Heavy Ceramide Cream
Tra_0056,Gentle Cleanser
Tra_0056,Hyaluronic Acid Serum
Tra_0057,Lip Sleeping Mask
Tra_0057,Vitamin C Serum
Tra_0057,Gentle Cleanser
Tra_0057,Lightweight Moisturizer
Tra_0057,Heavy Ceramide Cream
Tra_0057,Hyaluronic Acid Serum
Tra_0058,Lightweight Moisturizer
Tra_0058,Chemical Sunscreen SPF 50
Tra_0058,Foaming Cleanser
Tra_0058,Vitamin C Serum
Tra_0059,Foaming Cleanser
Tra_0059,Heavy Ceramide Cream
Tra_0059,Hyaluronic Acid Serum
Tra_0060,Heavy Ceramide Cream
Tra_0060,Gentle Cleanser
Tra_0060,Hyaluronic Acid Serum
Tra_0061,Foaming Cleanser
Tra_0061,Heavy Ceramide Cream
Tra_0061,Hyaluronic Acid Serum
Tra_0062,Foaming Cleanser
Tra_0063,Lightweight Moisturizer
Tra_0063,Foaming Cleanser
Tra_0063,Snail Mucin Essence
Tra_0063,Sheet Mask
Tra_0064,Heavy Ceramide Cream
Tra_0064,Pimple Patches
Tra_0064,Gentle Cleanser
Tra_0064,Hyaluronic Acid Serum
