Transaction_ID,Item
Esp_0001,Wireless Gaming Mouse
Esp_0001,Mechanical Gaming Keyboard
Esp_0001,27-inch 144Hz Gaming Monitor
Esp_0001,XL RGB Mousepad
Esp_0001,Noise-Cancelling Gaming Headset
Esp_0001,Nintendo Switch OLED
Esp_0002,Wireless Gaming Mouse
Esp_0002,Mechanical Gaming Keyboard
Esp_0002,Xbox Series X Console
Esp_0002,27-inch 144Hz Gaming Monitor
Esp_0002,XL RGB Mousepad
Esp_0002,Noise-Cancelling Gaming Headset
Esp_0003,Mechanical Gaming Keyboard
Esp_0003,Noise-Cancelling Gaming Headset
Esp_0003,Xbox Series X Console
Esp_0003,PlayStation 5 Console
Esp_0004,Wireless Gaming Mouse
Esp_0004,Mechanical Gaming Keyboard
Esp_0004,Xbox Series X Console
Esp_0004,27-inch 144Hz Gaming Monitor
Esp_0004,XL RGB Mousepad
Esp_0004,Noise-Cancelling Gaming Headset
Esp_0005,Wireless Gaming Mouse
Esp_0005,1TB NVMe SSD
Esp_0005,Mechanical Gaming Keyboard
Esp_0005,27-inch 144Hz Gaming Monitor
Esp_0005,XL RGB Mousepad
Esp_0005,Spider-Man 2 (PS5)
Esp_0005,Noise-Cancelling Gaming Headset
Esp_0006,Wireless Gaming Mouse
Esp_0006,PlayStation 5 Console
Esp_0006,Mechanical Gaming Keyboard
Esp_0006,27-inch 144Hz Gaming Monitor
Esp_0006,XL RGB Mousepad
Esp_0007,Wireless Gaming Mouse
Esp_0007,PlayStation 5 Console
Esp_0007,Mechanical Gaming Keyboard
Esp_0007,Xbox Series X Console
Esp_0007,27-inch 144Hz Gaming Monitor
Esp_0007,XL RGB Mousepad
Esp_0007,Ergonomic Gaming Chair
Esp_0007,Noise-Cancelling Gaming Headset
Esp_0008,Wireless Gaming Mouse
Esp_0008,Mechanical Gaming Keyboard
Esp_0008,Halo Infinite (Xbox)
Esp_0008,27-inch 144Hz Gaming Monitor
Esp_0008,XL RGB Mousepad
Esp_0008,Noise-Cancelling Gaming Headset
Esp_0009,Wireless Gaming Mouse
Esp_0009,Noise-Cancelling Gaming Headset
Esp_0010,Wireless Gaming Mouse
Esp_0010,Mechanical Gaming Keyboard
Esp_0010,27-inch 144Hz Gaming Monitor
Esp_0010,XL RGB Mousepad
Esp_0010,Noise-Cancelling Gaming Headset
Esp_0011,Wireless Gaming Mouse
Esp_0011,Mechanical Gaming Keyboard
Esp_0011,27-inch 144Hz Gaming Monitor
Esp_0011,XL RGB Mousepad
Esp_0011,Noise-Cancelling Gaming Headset
Esp_0012,Wireless Gaming Mouse
Esp_0012,Mechanical Gaming Keyboard
Esp_0012,27-inch 144Hz Gaming Monitor
Esp_0012,XL RGB Mousepad
Esp_0012,Switch Pro Controller
Esp_0013,Wireless Gaming Mouse
Esp_0013,Mechanical Gaming Keyboard
Esp_0013,Xbox Series X Console
Esp_0013,27-inch 144Hz Gaming Monitor
