Transaction_ID,Item
Win_0001,Mineral Sunscreen SPF 50
Win_0001,Lip Sleeping Mask
Win_0001,Gentle Cleanser
Win_0001,Heavy Ceramide Cream
Win_0001,Chemical Sunscreen SPF 50
Win_0001,Hyaluronic Acid Serum
Win_0002,Gentle Cleanser
Win_0003,Mineral Sunscreen SPF 50
Win_0003,Lip Sleeping Mask
Win_0003,Gentle Cleanser
Win_0003,Heavy Ceramide Cream
Win_0003,Hyaluronic Acid Serum
Win_0004,Exfoliating Toner
Win_0004,Gentle Cleanser
Win_0005,Lip Sleeping Mask
Win_0005,Clay Mask
Win_0005,Sheet Mask
Win_0005,Gentle Cleanser
Win_0005,Heavy Ceramide Cream
Win_0005,Hyaluronic Acid Serum
Win_0006,Foaming Cleanser
Win_0006,Snail Mucin Essence
Win_0006,Gentle Cleanser
Win_0007,Lip Sleeping Mask
Win_0007,Gentle Cleanser
Win_0007,Heavy Ceramide Cream
Win_0007,Chemical Sunscreen SPF 50
Win_0007,Hyaluronic Acid Serum
Win_0008,Foaming Cleanser
Win_0008,Snail Mucin Essence
Win_0008,Exfoliating Toner
Win_0008,Sheet Mask
Win_0009,Clay Mask
Win_0009,Foaming Cleanser
Win_0009,Gentle Cleanser
Win_0009,Hydrating Toner
Win_0010,Lip Sleeping Mask
Win_0010,Foaming Cleanser
Win_0010,Heavy Ceramide Cream
Win_0010,Hyaluronic Acid Serum
Win_0011,Foaming Cleanser
Win_0011,Snail Mucin Essence
Win_0011,Hydrating Toner
Win_0011,Hyaluronic Acid Serum
Win_0012,Lip Sleeping Mask
Win_0012,Heavy Ceramide Cream
Win_0012,Gentle Cleanser
Win_0012,Hyaluronic Acid Serum
Win_0013,Lip Sleeping Mask
Win_0013,Sheet Mask
Win_0013,Gentle Cleanser
Win_0013,Heavy Ceramide Cream
Win_0013,Hyaluronic Acid Serum
Win_0014,Lip Sleeping Mask
Win_0014,Vitamin C Serum
Win_0014,Gentle Cleanser
Win_0014,Heavy Ceramide Cream
Win_0014,Exfoliating Toner
Win_0014,Hyaluronic Acid Serum
Win_0015,Foaming Cleanser
Win_0015,Lip Sleeping Mask
Win_0015,Clay Mask
Win_0015,Heavy Ceramide Cream
Win_0015,Hyaluronic Acid Serum
Win_0016,Foaming Cleanser
Win_0016,Lip Sleeping Mask
Win_0016,Vitamin C Serum
Win_0016,Lightweight Moisturizer
Win_0016,Heavy Ceramide Cream
Win_0016,Hydrating Toner
Win_0016,Hyaluronic Acid Serum
Win_0017,Foaming Cleanser
Win_0017,Lip Sleeping Mask
Win_0017,Clay Mask
Win_0017,Heavy Ceramide Cream
Win_0017,Hyaluronic Acid Serum
Win_0018,Lip Sleeping Mask
Win_0018,Clay Mask
Win_0018,Sheet Mask
Win_0018,Gentle Cleanser
Win_0018,Heavy Ceramide Cream
Win_0018,Hyaluronic Acid Serum
Win_0019,Lip Sleeping Mask
Win_0019,Vitamin C Serum
Win_0019,Gentle Cleanser
Win_0019,Heavy Ceramide Cream
Win_0019,Hyaluronic Acid Serum
Win_0020,Foaming Cleanser
Win_0020,Lip Sleeping Mask
Win_0020,Niacinamide Serum
Win_0020,Snail Mucin Essence
Win_0020,Sheet Mask
Win_0020,Heavy Ceramide Cream
Win_0020,Hydrating Toner
Win_0020,Hyaluronic Acid Serum
Win_0021,Foaming Cleanser
Win_0021,Mineral Sunscreen SPF 50
Win_0021,Lip Sleeping Mask
Win_0021,Gentle Cleanser
Win_0021,Heavy Ceramide Cream
Win_0021,Hyaluronic Acid Serum
Win_0022,Lightweight Moisturizer
Win_0022,Foaming Cleanser
Win_0022,Mineral Sunscreen SPF 50
Win_0023,Foaming Cleanser
Win_0024,Lip Sleeping Mask
Win_0024,Sheet Mask
Win_0024,Gentle Cleanser
Win_0024,Lightweight Moisturizer
Win_0024,Heavy Ceramide Cream
Win_0024,Hyaluronic Acid Serum
Win_0025,Lip Sleeping Mask
Win_0025,Heavy Ceramide Cream
Win_0025,Gentle Cleanser
Win_0025,Hyaluronic Acid Serum
Win_0026,Foaming Cleanser
Win_0026,Lip Sleeping Mask
Win_0026,Sheet Mask
Win_0026,Heavy Ceramide Cream
Win_0026,Hyaluronic Acid Serum
Win_0027,Lip Sleeping Mask
Win_0027,Sheet Mask
Win_0027,Gentle Cleanser
Win_0027,Heavy Ceramide Cream
Win_0027,Hyaluronic Acid Serum
